sectors,keyword_es
Salud,desarrollo farmaceutico
Transversal,desarrollo regional
Transversal,desarrollo regional sostenible
Transversal,desarrollo rural
Transversal,desarrollo rural sostenible
Transversal,desarrollo sistémico
Transversal,desarrollo sostenible
Salud,descubrimiento de clientes potenciales basado en fragmentos
Residuos,desechos alimentarios
Residuos,desechos marinos
Residuos,desperdicio de comida
Residuos,desperdicios de seda
Transversal,destilación
Transversal,determinar la optimización del proceso.
Transversal,deuda de efecto invernadero
Biotecnología,epigenómica
Energía,digestión anaeróbica
Energía,digestor anaeróbico
Biotecnología,escala piloto
Transversal,dinámica estructural
Biotecnología,espectrometría
Biotecnología,espectrometría de masas
Transversal,diseño de ingeniería
Transversal,diseño de producto 
Transversal,diseño de sistema de biomasa.
Biotecnología,espectrometría de masas de proteínas
Piscícola,diversidad de algas
Transversal,diversidad de ecosistemas
Transversal,diversidad de especies
Biotecnología,etnobotánica
Transversal,diversidad microbiana
Agro,diversificación de cultivos 
Biotecnología,evaluación de impacto ambiental
Transversal,duocarmicina
Biotecnología,expresión de proteínas
Transversal,ecología
Piscícola,ecología acuática
Transversal,ecología comunitaria
Transversal,ecología de ecosistemas
Transversal,ecología de hongos
Transversal,ecología de la conservación
Piscícola,ecología de peces
Biotecnología,expresión de proteínas recombinantes
Biotecnología,expresión heteróloga
Forestal,ecología forestal
Transversal,ecología microbiana
Agro,plantas de baya
Transversal,econometría aplicada
Agro,economía agrícola
Transversal,economía aplicada
Transversal,economía baja en carbono
Transversal,economía circular
Biotecnología,extracción
Transversal,economía de la agricultura
Transversal,economía ecológica
Biotecnología,extracción de ácidos grasos
Transversal,ecourbanismo
Biotecnología,extracción de adn
Biotecnología,extracción de compuestos bioactivos
Biotecnología,extraer ácido graso
Transversal,edición del gen leaper
Biotecnología,extremófilos
Biotecnología,fermentación
Biotecnología,fermentación a escala de laboratorio
Biotecnología,fermentación a escala de producción.
Transversal,efecto rebote en la conservación
Energía,eficiencia energética
Agro,eficiencia ganadera
Biotecnología,fermentación de levadura
Agro,el mejoramiento del suelo 
Turismo,el turismo sostenible
Residuos,elaboración de procesos de gestión de residuos.
Biotecnología,fermentación en estado sólido
Biotecnología,fermentación industrial
Biotecnología,fitoquímica
Energía,electrohidrogénesis
Energía,electrometanogénesis
Biotecnología,fitorremediación
Transversal,electrosíntesis microbiana
Biotecnología,formulación de piensos
Residuos,eliminación de residuos bioquímicos
Biotecnología,fosfoproteómica
Energía,emisiones netas de carbono cero
Biotecnología,fotobiología
Transversal,empleos verdes
Biotecnología,fotofísica
Biotecnología,fotosíntesis
Transversal,endonucleasa i-scei codificada por intrón
Energía,energía de biogás
Energía,energía de biogás
Energía,energia limpia
Energía,energía para el desarrollo sostenible
Energía,energía sostenible
Biotecnología,fungicultura
Biotecnología,fusión somática
Biotecnología,genética
Biotecnología,genética cuantitativa
Transversal,entomología
Agro,entomología agrícola
Biotecnología,genética de hongos
Biotecnología,genética de poblaciones
Salud,entrega intracelular
Biotecnología,genética del arroz
Biotecnología,genética molecular
Agro,plantas agricolas
Biotecnología,genómica
Biotecnología,genotipado
Biotecnología,genotipado por secuenciación
Biotecnología,hidrólisis encimática
Biotecnología,hongos filamentosos
Biotecnología,identificación molecular
Transversal,escritura científica
Transversal,espectro electromagnético
Transversal,espectrofotometría
Biotecnología,ingeniería biomolecular
Biotecnología,ingeniería bioquímica
Biotecnología,ingeniería biotecnológica
Transversal,espectroscopia
Agro,estadísticas agrícolas
Transversal,estándares y certificación de sostenibilidad.
Piscícola,estanques de acuicultura 
Residuos,estanques de acuicultura con estiércol
Residuos,estiércol de estanques en acuicultura
Transversal,estrategia macrorregional
Piscícola,estrategias de acuicultura en desarrollo
Agro,estrategias de riego
Piscícola,estrategias para la acuicultura
Biotecnología,ingeniería de biomateriales
Transversal,estructura de la proteína
Biotecnología,ingeniería de proteínas
Energía,estudio de viabilidad sobre la energía del biogás
Transversal,estudios ambientales
Biotecnología,ingeniería de reacción bioquímica
Biotecnología,ingeniería genética
Transversal,evaluación de impacto
Biotecnología,ingeniería metabólica
Transversal,evaluación de la biodiversidad
Piscícola,evaluación de la tasa de crecimiento de especies de peces cultivadas.
Piscícola,evaluación de muestras de peces para diagnóstico.
Transversal,evaluación del ciclo de vida
Agro,evaluación del comportamiento alimentario de las larvas.
Piscícola,evaluación del impacto ambiental de la acuicultura
Transversal,evaluar el rendimiento del sistema
Transversal,evaluar los costos de producción.
Biotecnología,inoculantes biológicos
Biotecnología,la expresion genica
Biotecnología,lipidómica
Biotecnología,lipoproteínas
Biotecnología,mamíferos
Biotecnología,marcadores moleculares
Biotecnología,materiales amigables con el medio ambiente
Biotecnología,materiales nanoestructurados
Biotecnología,materiales poliméricos
Agro,ricino
Biotecnología,mejoramiento molecular
Salud,farmacia
Salud,farmacocinética
Salud,farmacogenética
Salud,farmacogenómica
Salud,farmacognosia
Agro,plantas leguminosas
Biotecnología,metabolitos secundarios
Biotecnología,metabolómica
Biotecnología,metagenómica
Biotecnología,micoremediación
Biotecnología,microbiología general
Biotecnología,microbiología molecular
Transversal,fermentación microbiana
Agro,fertilidad del suelo
Agro,fertilidad del suelo
Agro,fertilizantes
Biotecnología,microfluidos
Agro,ficotecnología
Transversal,finanzas mixtas
Biotecnología,microfluidos digitales
Agro,fitorremediación
Biotecnología,microinyección
Agro,fitotecnología
Transversal,flavonoides
Biotecnología,microorganismos
Biotecnología,microportador
Salud,formulación farmacéutica
Biotecnología,micropropagación
Biotecnología,microscopio fluorescente
Biotecnología,modelado cinético
Biotecnología,nanobiotecnología
Biotecnología,nanociencia
Biotecnología,nanofabricación
Biotecnología,nanomateriales
Biotecnología,nanoneurónica
Agro,genética animal
Biotecnología,nanopartículas
Biotecnología,nanotecnología
Biotecnología,ómicas
Biotecnología,ong
Biotecnología,pcr
Biotecnología,polímeros
Salud,genexperto infinito
Biotecnología,polímeros biodegradables
Biotecnología,precipitación de proteínas
Agro,genómica animal
Biotecnología,preparación enzimática
Biotecnología,probióticos
Biotecnología,procedimientos de secado
Biotecnología,procesamiento ascendente
Transversal,gestión ambiental
Transversal,gestión ambiental
Forestal,gestión de bosques
Transversal,gestión de ingeniería
Transversal,gestión de la cadena de suministro
Transversal,gestión de la calidad
Transversal,gestión de la innovación
Transversal,gestión de la producción
Transversal,gestión de la producción
Transversal,gestión de la sostenibilidad
Transversal,gestión de laboratorio
Salud,gestión de nutrientes
Transversal,gestión de recursos hídricos
Transversal,gestión de recursos naturales
Residuos,gestión de residuos
Residuos,gestión de residuos
Transversal,gestión de suministros sostenibles
Transversal,gestión del rendimiento
Piscícola,biología de los peces
Piscícola,gestión pesquera
Piscícola,métodos de captura de peces
Transversal,gestión sostenible
Transversal,gestión sostenible de los recursos.
Piscícola,gestionar la pesca utilizando el conocimiento biológico
Transversal,gobernanza ambiental
Agro,granja saludable
Transversal,habilidades de laboratorio
Transversal,herpetología
Biotecnología,procesamiento en bajada
Biotecnología,procesamiento enzimático
Transversal,hongos
Biotecnología,procesamiento de enzimas
Agro,horticultura
Transversal,huella ambiental del producto
Biotecnología,proceso de fermentación
Biotecnología,procesos bioquímicos
Piscícola,identificar el impacto ambiental de una actividad acuícola específica.
Piscícola,identificar el impacto de una actividad acuícola específica
Agro,identificar las características de los cultivos.
Biotecnología,producción de proteínas
Transversal,impacto del calentamiento global
Transversal,impacto medioambiental
Biotecnología,productos bioquímicos
Transversal,industrias sustentables
Piscícola,informar la producción de pescado cosechado
Transversal,informes de sostenibilidad
Biotecnología,proteína de la célula huésped
Biotecnología,proteína unicelular
Biotecnología,proteínas recombinantes
Transversal,ingeniería de aguas residuales
Agro,ingeniería de alimentos
Biotecnología,proteómica
Transversal,ingeniería de bioprocesos
Transversal,ingeniería de bioproductos
Transversal,ingeniería de diseño
Transversal,ingeniería de producción
Transversal,ingeniería de producto
Biotecnología,pruebas de biomateriales
Biotecnología,pruebas genómicas
Salud,ingeniería de tejidos
Biotecnología,purificación de proteínas
Biotecnología,química bioinorgánica
Transversal,ingeniería química 
Biotecnología,reacción en cadena de la polimerasa
Salud,inmunodetección
Salud,inmunoterapia contra el cáncer
Transversal,innovación empresarial
Biotecnología,reacción en cadena de la polimerasa (pcr)
Energía,instalaciones de biogás
Energía,instalaciones de biomasa
Salud,instrumentación biomédica
Transversal,instrumentación de química analítica
Agro,intensificación sostenible
Biotecnología,reacción en cadena de la polimerasa con transcripción inversa
Biotecnología,reacción en cadena de la polimerasa en tiempo real (qpcr)
Transversal,interacciones microbianas
Transversal,inversión estratégica sostenible
Transversal,inversión rural
Transversal,investigación
Transversal,investigación de laboratorio
Transversal,investigación rural
Transversal,investigación y desarrollo
Biotecnología,reactores bioquímicos
Transversal,jefe de operaciones
Biotecnología,secuenciación del adn
Biotecnología,secuenciación del genoma
Agro,la producción de alimentos
Agro,la producción de cultivos
Agro,la rotación de cultivos
Salud,laboratorio médico
Biotecnología,sonoporación
Agro,labranza sostenible
Biotecnología,subclonación
Biotecnología,técnicas básicas de biología molecular
Biotecnología,técnicas biotecnológicas
Biotecnología,técnicas de biología molecular
Biotecnología,técnicas de laboratorio
Biotecnología,técnicas in vitro
Biotecnología,tecnología de fermentación
Biotecnología,tecnología de reproducción asistida
Biotecnología,tecnología poscosecha
Biotecnología,terapéutica de arn
Biotecnología,terapia bacteriana
Biotecnología,termodinámica del ácido nucleico.
Biotecnología,transcriptómica
Biotecnología,transcriptómica unicelular
Biotecnología,transfección
Biotecnología,transferir adn
Biotecnología,transposón
Biotecnología,usando procesos biocatalíticos
Biotecnología,vector de expresión
Residuos,lodo de carbón
Agro,los métodos de cultivo
Transversal,macroeconómica
Biotecnología,xenobiología
Agro,manejo de cultivos
Residuos,manejo de desechos bioquímicos
Salud,manejo de la salud
Salud,manejo de la salud 
Forestal,manejo forestal sostenible
Agro,manejo ganadero
Agro,manejo integrado de enfermedades
Agro,manejo integrado de plagas
Transversal,mantenimiento de equipo
Piscícola,mantenimiento de estanques de acuicultura
Agro,cacahuete 
Biotecnología,secuenciación
Biotecnología,adn de hachimoji
Biotecnología,adn ligasa
Transversal,material bioinstructivo
Biotecnología,amplificación de la recombinasa polimerasa
Biotecnología,amplificación dependiente de helicasa
Biotecnología,análisis del espaciador intergénico ribosómico.
Transversal,matlab
Biotecnología,analizar cultivos celulares.
Biotecnología,análogo de aminoácido fotorreactivo
Transversal,mecanismos de producción de almidón.
Salud,medicamentos especializados
Salud,medicina de precisión
Salud,medicina personalizada
Salud,medicina viva
Transversal,medición de la sostenibilidad
Forestal,mediciones forestales 
Biotecnología,arn largo no codificante
Energía,medidor de biogás
Energía,medidor de biogás
Energía,medidor de biogás en funcionamiento
Transversal,medios de vida sostenibles
Biotecnología,bacterias que se dirigen a los tumores
Transversal,optimización
Biotecnología,biblioteca química codificada por adn
Biotecnología,biochip
Biotecnología,biorreactor de musgo
Agro,plantas plaguicidas
Energía,mercado energético
Transversal,mercados sostenibles
Biotecnología,biosensor de glucosa fluorescente
Biotecnología,chem-seq
Transversal,metagénica
Biotecnología,chip-seq
Transversal,metas de desarrollo sostenible
Agro,cultivo de plantas
Biotecnología,clonación ta
Transversal,métodos microbiológicos
Transversal,métricas sostenibles
Transversal,micología ambiental
Biotecnología,coeficiente sincrónico de alteración de arrastre.
Transversal,microalgas
Biotecnología,condensación de adn
Transversal,microbiología
Piscícola,microbiología acuática
Agro,microbiología agrícola
Transversal,microbiología ambiental
Transversal,microbiología aplicada
Salud,microbiología clínica
Agro,microbiología del suelo
Biotecnología,cultura por lotes alimentados
Biotecnología,derretimiento de alta resolución
Salud,microfisiometría
Biotecnología,desarrollar procesos biocatalíticos.
Biotecnología,dímero de imprimación
Biotecnología,drip-seq
Salud,micronutrición
Biotecnología,efecto genético
Transversal,microorganismos patógenos
Transversal,microperlas 
Biotecnología,electrotransferencia genética
Biotecnología,endonucleasa dirigida
Biotecnología,ensayo de cultivo celular
Transversal,microsostenibilidad
Transversal,minería de datos y descubrimiento de conocimientos
Biotecnología,ensayo de unión de selección y amplificación.
Transversal,mitigación del cambio climático
Biotecnología,entorno virtual integrado de alto rendimiento
Transversal,modelado de bioprocesos
Transversal,modelado de sistemas
Transversal,modelado económico
Transversal,modelado y simulación
Transversal,modelo de negocio inclusivo
Transversal,monitoreo de la biodiversidad
Transversal,monitoreo de parámetros ambientales.
Salud,morfolino
Piscícola,muestras de peces para diagnostico
Biotecnología,entrega de genes
Biotecnología,enzima cortadora rara
Biotecnología,enzima melladora
Biotecnología,equipo de análisis bioquímico
Biotecnología,equivalencia sustancial
Biotecnología,estreptámero
Biotecnología,estudio de viabilidad del sistema de biomasa
Biotecnología,etiqueta estreptocócica
Biotecnología,fabricación de composites fuera de autoclave
Biotecnología,fermentación a escala de producción.
Transversal,negocio sustentable
Biotecnología,fertilizantes nitrogenados
Biotecnología,fotobiotina
Biotecnología,genómica del color
Biotecnología,genotipado de snp
Salud,nutrición
Piscícola,nutrición acuícola
Agro,nutrición animal
Agro,enfermedad de las plantas
Agro,fisiología vegetal
Agro,nutriente del suelo
Transversal,nutrigenómica
Transversal,objetivo de desarrollo sostenible 1
Transversal,objetivo de desarrollo sostenible 10
Transversal,objetivo de desarrollo sostenible 11
Transversal,objetivo de desarrollo sostenible 12
Transversal,objetivo de desarrollo sostenible 13
Transversal,objetivo de desarrollo sostenible 14
Transversal,objetivo de desarrollo sostenible 15
Transversal,objetivo de desarrollo sostenible 16
Transversal,objetivo de desarrollo sostenible 17
Transversal,objetivo de desarrollo sostenible 2
Transversal,objetivo de desarrollo sostenible 3
Transversal,objetivo de desarrollo sostenible 4
Transversal,objetivo de desarrollo sostenible 5
Transversal,objetivo de desarrollo sostenible 6
Transversal,objetivo de desarrollo sostenible 7
Transversal,objetivo de desarrollo sostenible 8
Transversal,objetivo de desarrollo sostenible 9
Biotecnología,hibridoma de conejo
Salud,oncogenómica
Biotecnología,indicador de voltaje codificado genéticamente.
Agro,operaciones agrícolas
Transversal,operaciones de producción
Salud,operaciones de salud
Transversal,operaciones de seguridad
Transversal,operar en diferentes situaciones climáticas.
Agro,hortalizas 
Transversal,optimización de bioprocesos
Transversal,optimización de procesos
Transversal,optimización del diseño
Transversal,optoelectrohumectación
Biotecnología,inhibidor del tnf
Biotecnología,interacción proteína-adn
Biotecnología,interacción proteína-proteína
Turismo,patrimonio natural
Biotecnología,isosquizómero
Biotecnología,knockout genético
Biotecnología,laboratorio molecular
Biotecnología,ligadura circular dividida entre péptidos y proteínas.
Biotecnología,ligando inteligente
Biotecnología,lista de sitios de corte de endonucleasas localizadas
Agro,permacultura
Piscícola,pesca
Piscícola,pesca acuícola
Agro,pharming (genética)
Biotecnología,marcado de isótopos estables por aminoácidos en cultivos celulares.
Biotecnología,marcador de tamaño de peso molecular
Agro,trilladora de leguminosas
Forestal,planes de manejo forestal
Biotecnología,mejoramiento vegetal 
Biotecnología,bioquimica vegetal
Forestal,población de árboles
Energía,pobreza energética
Agro,policultivos
Biotecnología,mecánica de la bicapa lipídica.
Biotecnología,mecanismos de fermentación de los alimentos.
Biotecnología,medidas de fermentación de los alimentos.
Transversal,política de medio ambiente
Agro,políticas agrícolas
Transversal,políticas de gestión sostenible
Biotecnología,meganucleasa
Transversal,preparación de la muestra
Biotecnología,métodos de producción de microalgas.
Transversal,prevención de la contaminación
Transversal,previsiones económicas
Transversal,principio de sustitución 
Biotecnología,microarray celular
Agro,principios de producción agrícola sostenible
Biotecnología,minigen
Biotecnología,musgo knockout
Biotecnología,mutanome
Biotecnología,organismos acumuladores de polifosfatos
Agro,procesamiento de alimentos
Transversal,procesamiento de biomasa
Salud,procesamiento de señales biomédicas
Biotecnología,orientación al folato
Biotecnología,pantalla crispr
Biotecnología,pcr dependiente de arnasa h
Transversal,proceso de desarrollo
Biotecnología,pcr en frío
Biotecnología,pegamento molecular
Biotecnología,pegilación
Biotecnología,pinza de adn
Biotecnología,pirosecuenciación
Residuos,procesos de gestión de residuos
Agro,procesos de producción de alimentos
Transversal,procesos de producción de almidón.
Agro,producción agrícola sostenible
Agro,producción animal
Energía,producción biológica de hidrógeno.
Energía,producción de biocombustibles
Energía,producción de bioetanol
Energía,producción de biohidrógeno
Energía,producción de energía de biogás
Energía,producción de etanol
Transversal,producción de microalgas
Biotecnología,polimorfismo de nucleótido simple
Agro,productividad ganadera
Transversal,producto interno bruto verde
Biotecnología,principios de fermentación de la levadura.
Residuos,productos de combustión de carbón
Biotecnología,procedimientos de fermentación de los alimentos.
Biotecnología,sistema de mejoramiento vegetal
Transversal,propiedad intelectual
Agro,protección de cultivos
Transversal,protección de la biodiversidad
Biotecnología,proceso de fermentación del vino.
Biotecnología,procesos de fermentación de los alimentos.
Transversal,proteínas
Biotecnología,promotor táctico
Salud,proteólisis dirigida a quimera
Biotecnología,prueba rápida de antígenos
Salud,proyecto de embrión visible
Salud,prueba de laboratorio
Salud,prueba genética
Biotecnología,pulmón en un chip
Biotecnología,realizar análisis de cultivos celulares.
Salud,pruebas de diagnóstico
Biotecnología,realizar un estudio de viabilidad sobre sistemas de biomasa
Biotecnología,recombinación específica del sitio
Biotecnología,secuenciación de células individuales
Biotecnología,secuenciación de sólidos abi
Biotecnología,secuenciación de tercera generación
Transversal,química
Transversal,quimica aplicada
Biotecnología,secuenciación del genoma
Transversal,química de productos naturales
Transversal,química de proteínas
Transversal,quimica natural
Biotecnología,secuenciación del genoma de especies en peligro de extinción.
Biotecnología,secuenciación en fase sólida
Biotecnología,secuenciación fluorescente de una sola molécula.
Biotecnología,secuenciación ion torrent
Biotecnología,separación de adn por adsorción de sílice.
Biotecnología,síntesis orgánica con plantilla de adn
Biotecnología,sistema de deshidratación al vacío
Agro,reciclaje de tierras
Agro,recolección de cultivos
Biotecnología,sistema de información genética ampliado artificialmente
Residuos,recursos desperdiciados
Transversal,reducir el impacto ambiental en el entorno
Residuos,regulación de residuos
Transversal,remediación ambiental
Agro,rendimientos de los cultivos
Transversal,repoblación forestal
Agro,reproducción animal
Residuos,residuos biodegradables
Residuos,residuos bioquímicos
Residuos,residuos de alimentos para animales
Residuos,residuos de la pesca
Residuos,residuos metabólicos
Transversal,resistencia al cambio sistémico
Transversal,responsabilidad social corporativa
Agro,riego del suelo
Transversal,secado por aspersión
Biotecnología,sonrisa-seq
Biotecnología,subtelómero
Biotecnología,supresión de hibridación sustractiva.
Biotecnología,técnicas de biorremediación
Biotecnología,técnicas de producción de microalgas.
